"","q1","q2","q3","q4","q5","q7","q8","q9","q10","q11","q12","partyid","scale","likely","educ","racer","phonetyp","age","hisp","gender3","party2","county","race.st","smp","regionw","age4","agew","turnout3","partyw","region","likelyyn","rv.weight","turnout.score","lv.weight"
"1","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Disapprove","[DO NOT READ] Don't know/No opinion","Oppose","Not","Oppose","[DO NOT READ] Don't know/No opinion","or as a member of another political party","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",41,"No","Male","Non-Partisan","Miami-Dade","White","Cell","Southeast",2,"30 to 44","High","Other","Southeast",1,1.03191578388214,0.892497531,0.976449037114399
"2","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Support","Poor","Republican","Ten (definitely will vote)","Very likely","Graduate or Professional degree","Hispanic/Latino","Cell Phone only",54,"Yes","Male","Republican","Charlotte","White","Cell","Southwest",3,"45 to 64","High","Republican","Southwest",1,0.921140730381012,0.986067767,0.914723957200853
"3","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Hispanic/Latino","Cell Phone only",42,"Yes","Male","Democratic","Lee","Hispanic","Cell","Southwest",2,"30 to 44","High","Democratic","Southwest",1,0.705187797546387,0.929431902,0.680305916743558
"4","[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",70,"No","Male","Non-Partisan","Pinellas","White","Landline","Bay Area",4,"65+","High","Other","Bay Area",1,0.930468559265137,0.986561333,0.924216431169404
"5","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","[DO NOT READ] Don't know/No opinion","Real threat","Support","Good","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone only",65,"No","Female","Republican","Polk","White","Cell","Bay Area",4,"65+","High","Republican","Bay Area",1,1.31677258014679,0.923274088,1.26625729159261
"6","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican","Approve","Oppose","Support","Real threat","Support","Fair","Independent (No party)","Ten (definitely will vote)","Already voted by mail","Some college or trade school","African American/Black","Cell Phone only",21,"No","Male","Non-Partisan","Leon","Black","Cell","North/Panhandle",1,"18 to 29","Low","Other","North/Panhandle",1,1.04169809818268,0.040693002,0.542043960487711
"7","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Patrick Murphy, the Democrat","Approve","Support","Support","Not","Support","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",92,"No","Female","Non-Partisan","Lee","White","Landline","Southwest",4,"65+","Middle","Other","Southwest",1,0.794508397579193,0.529500805,0.607600617235572
"8","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",52,"No","Female","Republican","Hernando","White","Landline","Bay Area",3,"45 to 64","High","Republican","Bay Area",1,1.25167119503021,0.909785023,1.19521145162044
"9","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Good","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",78,"No","Female","Democratic","Palm Beach","Other","Cell","Southeast",4,"65+","High","Democratic","Southeast",1,0.829971551895142,0.879945067,0.780150461952817
"10","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Good","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",21,"No","Female","Democratic","Clay","White","Cell","North/Panhandle",1,"18 to 29","Low","Democratic","North/Panhandle",1,1.04064881801605,0.040693002,0.541497971224439
