"","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","partyid","scale","likely","educ","racer","phonetyp","age","hisp","gender","party2","county","racest","smp","region","age4","turnout3","race.st","partyw","regionw","rv.weight","likelyyn","turnout.score","lv.weight"
"1","Unfavorable","Unfavorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Real threat","Oppose","Support","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline Only",46,"No","F","Republican","Alamance","White","Landline","Piedmont-Triad",3,"High","White","Republican","Piedmont-Triad",1.15508627891541,1,0.98768838,1.1479757872488
"2","Favorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",30,"No","F","Non-Partisan","Yancey","White","Cell","Western",2,"Middle","White","Other","Western",0.963609099388123,1,0.710766521,0.824255093282081
"3","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",22,"No","F","Democratic","Buncombe","Other","Cell","Western",1,"High","Other","Democratic","Western",1.3485027551651,1,0.890629087,1.27475926640739
"4","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Approve","Oppose","Oppose","Real threat","Oppose","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone Only",22,"No","F","Non-Partisan","Catawba","White","Cell","Western",1,"Middle","White","Other","Western",1.07593786716461,1,0.561031599,0.839786504602312
"5","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Favor","Approve","Oppose","Oppose","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Hispanic/Latino","Cell Phone Only",23,"Yes","F","Democratic","Pitt","Hispanic","Cell","East/ South Central",1,"Middle","Hispanic","Democratic","East/ South Central",0.970705449581146,1,0.570863242,0.762422754778054
"6","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Support","Not","Support","Support","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",69,"No","F","Democratic","Granville","White","Landline","North Central",4,"High","White","Democratic","North Central",1.16539657115936,1,0.950193551,1.13637443871625
"7","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Oppose","Real threat","Oppose","Support","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","African American/Black","Landline and Cell Phone",42,"No","M","Democratic","Gaston","Black","Cell","Southwest",2,"High","Black","Democratic","Southwest",1.73407089710236,1,0.987915437,1.72359315260111
"8","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone Only",61,"No","F","Democratic","Guilford","White","Cell","Piedmont-Triad",3,"High","White","Democratic","Piedmont-Triad",1.06524693965912,1,0.986318517,1.05795986071124
"9","Unfavorable","Favorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","or as a member of another political party","Five","Somewhat likely","Some college or trade school","[DO NOT READ] Refused","Cell Phone Only",46,"No","M","Republican","Hoke","White","Cell","East/ South Central",3,"Middle","White","Republican","East/ South Central",0.787653028964996,0,0.65980201,0.259847525846846
"10","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Pat McCrory, the Republican","Favor","Disapprove","Oppose","Support","Not","Oppose","Oppose","Democrat","Ten (definitely will vote)","Not at all likely","High school","African American/Black","Landline Only",54,"No","M","Democratic","Nash","Black","Landline","North Central",3,"High","Black","Democratic","North Central",1.2913064956665,0,0.989651815,0.638971908578823
